taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Neisseria,15,FALSE,FALSE,FALSE,FALSE
Streptococcus,26,FALSE,FALSE,FALSE,FALSE
Haemophilus,27,FALSE,FALSE,FALSE,FALSE
Prevotella,16,FALSE,FALSE,FALSE,FALSE
Moraxella,45,FALSE,TRUE,TRUE,TRUE
Veillonella,28,FALSE,FALSE,FALSE,FALSE
Fusobacterium,17,FALSE,FALSE,FALSE,FALSE
Porphyromonas,12,FALSE,FALSE,FALSE,FALSE
Lautropia,46,FALSE,TRUE,TRUE,TRUE
Actinobacillus,8,FALSE,FALSE,FALSE,FALSE
Gemella,20,FALSE,FALSE,FALSE,FALSE
Alloprevotella,28,FALSE,FALSE,FALSE,FALSE
Leptotrichia,9,FALSE,FALSE,FALSE,FALSE
Rothia,44,FALSE,TRUE,TRUE,TRUE
Aggregatibacter,52,TRUE,TRUE,TRUE,TRUE
Granulicatella,15,FALSE,FALSE,FALSE,FALSE
ASV_52,6,FALSE,FALSE,FALSE,FALSE
Actinomyces,36,FALSE,FALSE,FALSE,TRUE
ASV_62,44,FALSE,TRUE,TRUE,TRUE
Campylobacter,12,FALSE,FALSE,FALSE,FALSE
Bergeyella,10,FALSE,FALSE,FALSE,FALSE
ASV_68,13,FALSE,FALSE,FALSE,FALSE
ASV_77,18,FALSE,FALSE,FALSE,FALSE
Corynebacterium,12,FALSE,FALSE,FALSE,FALSE
Streptobacillus,44,FALSE,TRUE,TRUE,TRUE
Oribacterium,37,FALSE,FALSE,TRUE,TRUE
Stomatobaculum,28,FALSE,FALSE,FALSE,FALSE
Lachnoanaerobaculum,12,FALSE,FALSE,FALSE,FALSE
Mannheimia,21,FALSE,FALSE,FALSE,FALSE
TM7x,14,FALSE,FALSE,FALSE,FALSE
Solobacterium,18,FALSE,FALSE,FALSE,FALSE
Peptostreptococcus,14,FALSE,FALSE,FALSE,FALSE
Abiotrophia,11,FALSE,FALSE,FALSE,FALSE
ASV_157,32,FALSE,FALSE,FALSE,TRUE
Treponema,45,FALSE,TRUE,TRUE,TRUE
ASV_205,41,FALSE,FALSE,TRUE,TRUE
ASV_209,39,FALSE,FALSE,TRUE,TRUE
F0058,39,FALSE,FALSE,TRUE,TRUE
Conchiformibius,16,FALSE,FALSE,FALSE,FALSE
Catonella,15,FALSE,FALSE,FALSE,FALSE
Candidatus_Saccharimonas,20,FALSE,FALSE,FALSE,FALSE
Mogibacterium,17,FALSE,FALSE,FALSE,FALSE
Selenomonas,20,FALSE,FALSE,FALSE,FALSE
Cardiobacterium,18,FALSE,FALSE,FALSE,FALSE
Capnocytophaga,13,FALSE,FALSE,FALSE,FALSE
Kingella,19,FALSE,FALSE,FALSE,FALSE
Butyrivibrio,21,FALSE,FALSE,FALSE,FALSE
Mycoplasma,14,FALSE,FALSE,FALSE,FALSE
Atopobium,27,FALSE,FALSE,FALSE,FALSE
Tannerella,16,FALSE,FALSE,FALSE,FALSE
Parvimonas,16,FALSE,FALSE,FALSE,FALSE
ASV_331,19,FALSE,FALSE,FALSE,FALSE
Peptococcus,33,FALSE,FALSE,FALSE,TRUE
