taxa_id,x,y,zero_ind
Neisseria,-0.11588203076249974,0,No
Haemophilus,0.0068295183613908675,0,No
Streptococcus,-0.08298302486687323,0,No
Prevotella,-0.21257035321540357,0,No
Moraxella,-0.09627991001568477,0,No
Veillonella,-0.20225262450406756,0,No
Fusobacterium,0.07579846639469719,0,No
Porphyromonas,-0.0036283001897491132,0,No
Lautropia,-0.03644116764980897,0,No
Actinobacillus,-0.015505963110979522,0,No
Gemella,0.03328865310871047,1,No
Alloprevotella,-0.39589878386791666,10,No
Leptotrichia,-0.16320622582570696,0,No
Rothia,-0.024734453109058314,0,No
Aggregatibacter,-0.0887263100129895,0,No
Granulicatella,0.05586165955562234,0,No
ASV_52,-0.04978416396261176,0,No
Actinomyces,0.11713847304342803,0,No
ASV_62,0.11657428392385545,0,No
Campylobacter,0.06320026241790219,0,No
Bergeyella,-0.12350618254258036,0,No
ASV_68,-0.07916853836309638,0,No
ASV_77,-0.01441642007950954,0,No
Corynebacterium,0.11950379374211606,0,No
Streptobacillus,-0.13609983755114563,0,No
Oribacterium,0.1028510926787036,0,No
Stomatobaculum,0.0757539669854057,0,No
Lachnoanaerobaculum,0.19248299802531046,26,No
TM7x,-0.03901142135749997,0,No
Solobacterium,0.07280604046176449,1,No
Peptostreptococcus,-0.06235023231778951,1,No
Abiotrophia,-0.03039622909615599,0,No
Oceanivirga,-0.03981983466540913,0,No
ASV_157,-0.0023567118934138963,0,No
ASV_180,0.009132174251274626,0,No
Mannheimia,0.06943723401585057,0,No
ASV_205,0.041852100398713794,0,No
ASV_209,0.1795015334823542,0,No
F0058,0.06578600148154931,0,No
Conchiformibius,-0.044421421180588797,0,No
Treponema,0.18471125411018932,0,No
Catonella,0.07006258718655774,0,No
Candidatus_Saccharimonas,0.11220003424011042,0,No
Mogibacterium,0.10494710736075707,0,No
Selenomonas,-0.10620136978441412,0,No
Cardiobacterium,0.13588339000341357,0,No
Comamonas,0.0038279545832430686,0,No
Capnocytophaga,0.08154104769962335,0,No
Atopobium,0.05769852350162543,0,No
Butyrivibrio,-0.11985479935986167,3,No
Kingella,0.00681404146527549,0,No
Mycoplasma,0.0391617831237807,0,No
Parvimonas,0.09984630860395993,0,No
Filifactor,0.12521799899660227,0,No
Peptococcus,-0.1632612929263316,1,No
Tannerella,0.02904731900736353,0,No
